date,match_number,city,team_1,team_2,team_1_runs.total,team_2_runs.total,match_winner,player_of_match,team_1_over,team_2_over,toss_winner,toss_decision,team_1_runs.extras,team_2_runs.extras,team_1_extras.legbyes,team_2_extras.legbyes,team_1_extras.wides,team_2_extras.wides,team_1_extras.byes,team_2_extras.byes,team_1_extras.noballs,team_2_extras.noballs,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method,match_extras,match_legbyes,match_wides,match_byes,match_noballs,match_4's,match_6's
2017-05-09,49,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,167.0,153.0,Kings XI Punjab,MM Sharma,19.0,19.0,Kolkata Knight Riders,field,12.0,4.0,4.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,,2017,PunjabCricketAssociationISBindraStadium,14.0,group_stage,regular,16.0,6.0,8.0,2.0,0.0,27.0,9.0
2017-05-10,50,Kanpur,Gujarat Lions,Delhi Daredevils,195.0,197.0,Delhi Daredevils,SS Iyer,19.0,19.0,Delhi Daredevils,field,11.0,3.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,V Narayan Kutty,K Srinivasan,Nitin Menon,YC Barde,AK Chaudhary,2.0,2017,GreenPark,,group_stage,regular,14.0,9.0,5.0,0.0,0.0,51.0,10.0
2017-05-11,51,Mumbai,Kings XI Punjab,Mumbai Indians,230.0,223.0,Kings XI Punjab,WP Saha,19.0,19.0,Mumbai Indians,field,10.0,8.0,1.0,2.0,6.0,5.0,0.0,0.0,3.0,1.0,M Nayyar,N Pandit,VK Sharma,A Deshmukh,A Nand Kishore,,2017,WankhedeStadium,7.0,group_stage,regular,18.0,3.0,11.0,0.0,4.0,36.0,26.0
2017-05-12,52,Delhi,Delhi Daredevils,Rising Pune Supergiant,168.0,161.0,Delhi Daredevils,KK Nair,19.0,19.0,Delhi Daredevils,bat,7.0,10.0,3.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,AJ Pycroft,R Pandit,C Shamshuddin,KN Ananthapadmanabhan,CK Nandan,,2017,FerozShahKotla,7.0,group_stage,regular,17.0,8.0,9.0,0.0,0.0,27.0,12.0
2017-05-13,53,Kanpur,Gujarat Lions,Sunrisers Hyderabad,154.0,158.0,Sunrisers Hyderabad,Mohammed Siraj,19.0,18.0,Sunrisers Hyderabad,field,6.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,Chinmay Sharma,K Srinivasan,YC Barde,AK Chaudhary,Nitin Menon,8.0,2017,GreenPark,,group_stage,regular,10.0,6.0,3.0,1.0,0.0,38.0,6.0
2017-05-13,54,Kolkata,Mumbai Indians,Kolkata Knight Riders,173.0,164.0,Mumbai Indians,AT Rayudu,19.0,19.0,Kolkata Knight Riders,field,17.0,8.0,11.0,2.0,6.0,5.0,0.0,0.0,0.0,1.0,J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,,2017,EdenGardens,9.0,group_stage,regular,25.0,13.0,11.0,0.0,1.0,33.0,12.0
2017-05-14,55,Pune,Kings XI Punjab,Rising Pune Supergiant,73.0,78.0,Rising Pune Supergiant,JD Unadkat,15.0,11.0,Rising Pune Supergiant,field,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,M Nayyar,N Pandit,KN Ananthapadmanabhan,AY Dandekar,A Deshmukh,9.0,2017,MaharashtraCricketAssociationStadium,,group_stage,regular,4.0,0.0,4.0,0.0,0.0,10.0,4.0
2017-05-14,56,Delhi,Royal Challengers Bangalore,Delhi Daredevils,161.0,151.0,Royal Challengers Bangalore,HV Patel,19.0,19.0,Royal Challengers Bangalore,bat,9.0,7.0,2.0,1.0,7.0,1.0,0.0,4.0,0.0,1.0,AJ Pycroft,R Pandit,KN Ananthapadmanabhan,CK Nandan,C Shamshuddin,,2017,FerozShahKotla,10.0,group_stage,regular,16.0,3.0,8.0,4.0,1.0,24.0,13.0
2017-05-16,57,Mumbai,Rising Pune Supergiant,Mumbai Indians,162.0,142.0,Rising Pune Supergiant,Washington Sundar,19.0,19.0,Mumbai Indians,field,7.0,9.0,2.0,2.0,4.0,7.0,0.0,0.0,1.0,0.0,J Srinath,YC Barde,CK Nandan,S Ravi,C Shamshuddin,,2017,WankhedeStadium,20.0,Qualifier 1,regular,16.0,4.0,11.0,0.0,1.0,16.0,15.0
2017-05-17,58,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,128.0,48.0,Kolkata Knight Riders,NM Coulter-Nile,19.0,5.0,Kolkata Knight Riders,field,7.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,M Nayyar,KN Ananthapadmanabhan,A Nand Kishore,AK Chaudhary,Nitin Menon,7.0,2017,MChinnaswamyStadium,,Eliminator,D/L,11.0,4.0,7.0,0.0,0.0,11.0,8.0
2017-05-19,59,Bangalore,Kolkata Knight Riders,Mumbai Indians,107.0,111.0,Mumbai Indians,KV Sharma,18.0,14.0,Mumbai Indians,field,7.0,8.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,Chinmay Sharma,KN Ananthapadmanabhan,C Shamshuddin,NJ Llong,Nitin Menon,6.0,2017,MChinnaswamyStadium,,Qualifier 2,regular,15.0,7.0,8.0,0.0,0.0,21.0,4.0
