date,match_number,city,team_1,team_2,season_match_no,outcome_winner,player_of_match,toss_winner,toss_decision,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method
2008-04-18,1,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,1,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,J Srinath,VN Kulkarni,AM Saheba,Asad Rauf,RE Koertzen,,2008,MChinnaswamyStadium,140.0,group_stage,regular
2008-04-19,2,Chandigarh,Chennai Super Kings,Kings XI Punjab,2,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,S Venkataraghavan,MSS Ranawat,RB Tiffin,MR Benson,SL Shastri,,2008,PunjabCricketAssociationStadium,33.0,group_stage,regular
2008-04-19,3,Delhi,Rajasthan Royals,Delhi Daredevils,3,Delhi Daredevils,MF Maharoof,Rajasthan Royals,bat,GR Viswanath,,IL Howell,Aleem Dar,GA Pratapkumar,9.0,2008,FerozShahKotla,,group_stage,regular
2008-04-20,4,Kolkata,Deccan Chargers,Kolkata Knight Riders,4,Kolkata Knight Riders,DJ Hussey,Deccan Chargers,bat,FM Engineer,F Gomes,Asad Rauf,BF Bowden,K Hariharan,5.0,2008,EdenGardens,,group_stage,regular
2008-04-20,5,Mumbai,Mumbai Indians,Royal Challengers Bangalore,5,Royal Challengers Bangalore,MV Boucher,Mumbai Indians,bat,J Srinath,SN Bandekar,AV Jayaprakash,SJ Davis,DJ Harper,5.0,2008,WankhedeStadium,,group_stage,regular
2008-04-21,6,Jaipur,Kings XI Punjab,Rajasthan Royals,6,Rajasthan Royals,SR Watson,Kings XI Punjab,bat,S Venkataraghavan,MSS Ranawat,I Shivram,Aleem Dar,RB Tiffin,6.0,2008,SawaiMansinghStadium,,group_stage,regular
2008-04-22,7,Hyderabad,Deccan Chargers,Delhi Daredevils,7,Delhi Daredevils,V Sehwag,Deccan Chargers,bat,Talat Ali,C Shamshuddin,MR Benson,IL Howell,AM Saheba,9.0,2008,RajivGandhiInternationalStadium,,group_stage,regular
2008-04-23,8,Chennai,Chennai Super Kings,Mumbai Indians,8,Chennai Super Kings,ML Hayden,Mumbai Indians,field,FM Engineer,S Ravi,BF Bowden,DJ Harper,GA Pratapkumar,,2008,MAChidambaramStadium,6.0,group_stage,regular
2008-04-24,9,Hyderabad,Deccan Chargers,Rajasthan Royals,9,Rajasthan Royals,YK Pathan,Rajasthan Royals,field,S Venkataraghavan,C Shamshuddin,SL Shastri,Asad Rauf,MR Benson,3.0,2008,RajivGandhiInternationalStadium,,group_stage,regular
2008-04-25,10,Chandigarh,Kings XI Punjab,Mumbai Indians,10,Kings XI Punjab,KC Sangakkara,Mumbai Indians,field,FM Engineer,HS Sekhon,RE Koertzen,Aleem Dar,AM Saheba,,2008,PunjabCricketAssociationStadium,66.0,group_stage,regular
