date,match_number,city,team_1,team_2,season_match_no,outcome_winner,player_of_match,toss_winner,toss_decision,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method
2008-04-26,11,Chennai,Kolkata Knight Riders,Chennai Super Kings,11,Chennai Super Kings,JDP Oram,Kolkata Knight Riders,bat,Talat Ali,S Ravi,SJ Davis,BF Bowden,AV Jayaprakash,9.0,2008,MAChidambaramStadium,,group_stage,regular
2008-04-26,12,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,12,Rajasthan Royals,SR Watson,Rajasthan Royals,field,J Srinath,SK Tarapore,GA Pratapkumar,MR Benson,IL Howell,7.0,2008,MChinnaswamyStadium,,group_stage,regular
2008-04-27,13,Chandigarh,Delhi Daredevils,Kings XI Punjab,13,Kings XI Punjab,SM Katich,Delhi Daredevils,bat,FM Engineer,MS Mahal,Aleem Dar,RE Koertzen,I Shivram,4.0,2008,PunjabCricketAssociationStadium,,group_stage,regular
2008-04-27,14,Mumbai,Mumbai Indians,Deccan Chargers,14,Deccan Chargers,AC Gilchrist,Deccan Chargers,field,S Venkataraghavan,VD Nerurkar,DJ Harper,Asad Rauf,SL Shastri,10.0,2008,DrDYPatilSportsAcademy,,group_stage,regular
2008-04-28,15,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,15,Chennai Super Kings,MS Dhoni,Chennai Super Kings,bat,J Srinath,,K Hariharan,BR Doctrove,RB Tiffin,,2008,MChinnaswamyStadium,13.0,group_stage,regular
2008-04-29,16,Kolkata,Kolkata Knight Riders,Mumbai Indians,16,Mumbai Indians,ST Jayasuriya,Kolkata Knight Riders,bat,S Venkataraghavan,SK Porel,MR Benson,BF Bowden,AV Jayaprakash,7.0,2008,EdenGardens,,group_stage,regular
2008-04-30,17,Delhi,Delhi Daredevils,Royal Challengers Bangalore,17,Delhi Daredevils,GD McGrath,Royal Challengers Bangalore,field,CH Lloyd,AK Chaudhary,IL Howell,Aleem Dar,I Shivram,,2008,FerozShahKotla,10.0,group_stage,regular
2008-05-01,18,Jaipur,Rajasthan Royals,Kolkata Knight Riders,18,Rajasthan Royals,SA Asnodkar,Rajasthan Royals,bat,FM Engineer,MSS Ranawat,Asad Rauf,RE Koertzen,GA Pratapkumar,,2008,SawaiMansinghStadium,45.0,group_stage,regular
2008-05-01,19,Hyderabad,Deccan Chargers,Kings XI Punjab,19,Kings XI Punjab,SE Marsh,Kings XI Punjab,field,Talat Ali,C Shamshuddin,SJ Davis,BR Doctrove,RB Tiffin,7.0,2008,RajivGandhiInternationalStadium,,group_stage,regular
2008-05-02,20,Chennai,Chennai Super Kings,Delhi Daredevils,20,Delhi Daredevils,V Sehwag,Chennai Super Kings,bat,S Venkataraghavan,S Ravi,MR Benson,BF Bowden,K Hariharan,8.0,2008,MAChidambaramStadium,,group_stage,regular
2008-05-03,21,Bangalore,Royal Challengers Bangalore,Deccan Chargers,21,Royal Challengers Bangalore,P Kumar,Deccan Chargers,field,Talat Ali,CK Nandan,SK Tarapore,BR Doctrove,SL Shastri,,2008,MChinnaswamyStadium,3.0,group_stage,regular
2008-05-03,22,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,22,Kings XI Punjab,IK Pathan,Kings XI Punjab,bat,CH Lloyd,MS Mahal,SJ Davis,DJ Harper,I Shivram,,2008,PunjabCricketAssociationStadium,9.0,group_stage,regular
2008-05-04,23,Mumbai,Mumbai Indians,Delhi Daredevils,23,Mumbai Indians,SM Pollock,Delhi Daredevils,field,J Srinath,UL Dubey,BF Bowden,IL Howell,RE Koertzen,,2008,DrDYPatilSportsAcademy,29.0,group_stage,regular
2008-05-04,24,Jaipur,Chennai Super Kings,Rajasthan Royals,24,Rajasthan Royals,Sohail Tanvir,Chennai Super Kings,bat,FM Engineer,MSS Ranawat,Aleem Dar,Asad Rauf,AV Jayaprakash,8.0,2008,SawaiMansinghStadium,,group_stage,regular
2008-05-05,25,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,25,Kings XI Punjab,S Sreesanth,Kings XI Punjab,field,CH Lloyd,SK Tarapore,SL Shastri,SJ Davis,BR Doctrove,6.0,2008,MChinnaswamyStadium,,group_stage,regular
2008-05-06,26,Chennai,Chennai Super Kings,Deccan Chargers,26,Deccan Chargers,AC Gilchrist,Deccan Chargers,field,J Srinath,K Srinivasan,S Ravi,MR Benson,RB Tiffin,7.0,2008,MAChidambaramStadium,,group_stage,regular
2008-05-07,27,Mumbai,Rajasthan Royals,Mumbai Indians,27,Mumbai Indians,A Nehra,Mumbai Indians,field,Talat Ali,UL Dubey,BF Bowden,DJ Harper,RE Koertzen,7.0,2008,DrDYPatilSportsAcademy,,group_stage,regular
2008-05-08,28,Delhi,Delhi Daredevils,Chennai Super Kings,28,Chennai Super Kings,MS Dhoni,Chennai Super Kings,field,CH Lloyd,,K Hariharan,Aleem Dar,RB Tiffin,4.0,2008,FerozShahKotla,,group_stage,regular
2008-05-08,29,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,29,Kolkata Knight Riders,SC Ganguly,Kolkata Knight Riders,bat,FM Engineer,,BR Doctrove,Asad Rauf,IL Howell,,2008,EdenGardens,5.0,group_stage,regular
2008-05-09,30,Jaipur,Deccan Chargers,Rajasthan Royals,30,Rajasthan Royals,YK Pathan,Rajasthan Royals,field,S Venkataraghavan,,SJ Davis,MR Benson,AM Saheba,8.0,2008,SawaiMansinghStadium,,group_stage,regular
2008-05-10,31,Chennai,Chennai Super Kings,Kings XI Punjab,31,Chennai Super Kings,L Balaji,Kings XI Punjab,field,J Srinath,S Ravi,I Shivram,AV Jayaprakash,BG Jerling,,2008,MAChidambaramStadium,18.0,group_stage,regular
2008-05-11,32,Hyderabad,Kolkata Knight Riders,Deccan Chargers,32,Kolkata Knight Riders,SC Ganguly,Kolkata Knight Riders,bat,Talat Ali,,BF Bowden,IL Howell,AM Saheba,,2008,RajivGandhiInternationalStadium,23.0,group_stage,regular
2008-05-11,33,Jaipur,Delhi Daredevils,Rajasthan Royals,33,Rajasthan Royals,SR Watson,Rajasthan Royals,field,FM Engineer,,MSS Ranawat,SJ Davis,RE Koertzen,3.0,2008,SawaiMansinghStadium,,group_stage,regular
2008-05-12,34,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,34,Kings XI Punjab,SE Marsh,Royal Challengers Bangalore,bat,CH Lloyd,HS Sekhon,Jasbir Singh,BR Doctrove,I Shivram,9.0,2008,PunjabCricketAssociationStadium,,group_stage,regular
2008-05-13,35,Kolkata,Kolkata Knight Riders,Delhi Daredevils,35,Kolkata Knight Riders,Shoaib Akhtar,Kolkata Knight Riders,bat,Talat Ali,,AV Jayaprakash,Asad Rauf,IL Howell,,2008,EdenGardens,23.0,group_stage,regular
2008-05-14,36,Mumbai,Chennai Super Kings,Mumbai Indians,36,Mumbai Indians,ST Jayasuriya,Mumbai Indians,field,J Srinath,RM Deshpande,RE Koertzen,BR Doctrove,AM Saheba,9.0,2008,WankhedeStadium,,group_stage,regular
2008-05-15,37,Delhi,Delhi Daredevils,Deccan Chargers,37,Delhi Daredevils,A Mishra,Deccan Chargers,field,CH Lloyd,,Asad Rauf,BG Jerling,GA Pratapkumar,,2008,FerozShahKotla,12.0,group_stage,regular
2008-05-16,38,Mumbai,Kolkata Knight Riders,Mumbai Indians,38,Mumbai Indians,SM Pollock,Mumbai Indians,field,FM Engineer,SN Bandekar,I Shivram,BR Doctrove,DJ Harper,8.0,2008,WankhedeStadium,,group_stage,regular
2008-05-17,39,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,39,Rajasthan Royals,GC Smith,Royal Challengers Bangalore,field,Talat Ali,MSS Ranawat,SJ Davis,BF Bowden,SL Shastri,,2008,SawaiMansinghStadium,65.0,group_stage,regular
2008-05-17,40,Delhi,Delhi Daredevils,Kings XI Punjab,40,Kings XI Punjab,DPMD Jayawardene,Delhi Daredevils,bat,CH Lloyd,AK Chaudhary,BG Jerling,AV Jayaprakash,RE Koertzen,,2008,FerozShahKotla,6.0,group_stage,D/L
2008-05-18,41,Kolkata,Kolkata Knight Riders,Chennai Super Kings,41,Chennai Super Kings,M Ntini,Kolkata Knight Riders,bat,FM Engineer,S Banerjee,AM Saheba,Asad Rauf,K Hariharan,,2008,EdenGardens,3.0,group_stage,D/L
2008-05-18,42,Hyderabad,Mumbai Indians,Deccan Chargers,42,Mumbai Indians,DJ Bravo,Deccan Chargers,field,S Venkataraghavan,C Shamshuddin,I Shivram,BR Doctrove,DJ Harper,,2008,RajivGandhiInternationalStadium,25.0,group_stage,regular
2008-05-19,43,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,43,Delhi Daredevils,SP Goswami,Delhi Daredevils,field,Talat Ali,VN Kulkarni,SL Shastri,SJ Davis,GA Pratapkumar,5.0,2008,MChinnaswamyStadium,,group_stage,regular
2008-05-20,44,Kolkata,Kolkata Knight Riders,Rajasthan Royals,44,Rajasthan Royals,YK Pathan,Rajasthan Royals,field,FM Engineer,AK Mitra,K Hariharan,BG Jerling,RE Koertzen,6.0,2008,EdenGardens,,group_stage,regular
2008-05-21,45,Mumbai,Kings XI Punjab,Mumbai Indians,45,Kings XI Punjab,SE Marsh,Mumbai Indians,field,Talat Ali,,SL Shastri,BF Bowden,GA Pratapkumar,,2008,WankhedeStadium,1.0,group_stage,regular
2008-05-21,46,Chennai,Royal Challengers Bangalore,Chennai Super Kings,46,Royal Challengers Bangalore,A Kumble,Royal Challengers Bangalore,bat,J Srinath,S Ravi,BR Doctrove,DJ Harper,I Shivram,,2008,MAChidambaramStadium,14.0,group_stage,regular
2008-05-23,48,Chandigarh,Deccan Chargers,Kings XI Punjab,48,Kings XI Punjab,SE Marsh,Kings XI Punjab,field,Talat Ali,HS Sekhon,AM Saheba,Asad Rauf,SJ Davis,6.0,2008,PunjabCricketAssociationStadium,,group_stage,regular
2008-05-24,49,Chennai,Rajasthan Royals,Chennai Super Kings,49,Rajasthan Royals,JA Morkel,Rajasthan Royals,bat,J Srinath,,AV Jayaprakash,DJ Harper,SL Shastri,,2008,MAChidambaramStadium,10.0,group_stage,regular
2008-05-24,50,Delhi,Mumbai Indians,Delhi Daredevils,50,Delhi Daredevils,KD Karthik,Delhi Daredevils,field,CH Lloyd,,BG Jerling,BF Bowden,K Hariharan,5.0,2008,FerozShahKotla,,group_stage,regular
2008-05-25,51,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,51,Royal Challengers Bangalore,R Vinay Kumar,Deccan Chargers,bat,Talat Ali,,GA Pratapkumar,Asad Rauf,RE Koertzen,5.0,2008,RajivGandhiInternationalStadium,,group_stage,regular
2008-05-25,52,Kolkata,Kings XI Punjab,Kolkata Knight Riders,52,Kolkata Knight Riders,Umar Gul,Kings XI Punjab,bat,S Venkataraghavan,,BR Doctrove,SJ Davis,I Shivram,3.0,2008,EdenGardens,,group_stage,regular
2008-05-26,53,Jaipur,Mumbai Indians,Rajasthan Royals,53,Rajasthan Royals,Sohail Tanvir,Rajasthan Royals,field,CH Lloyd,MSS Ranawat,SL Shastri,BF Bowden,K Hariharan,5.0,2008,SawaiMansinghStadium,,group_stage,regular
2008-05-27,54,Hyderabad,Deccan Chargers,Chennai Super Kings,54,Chennai Super Kings,SK Raina,Deccan Chargers,bat,Talat Ali,,GA Pratapkumar,BG Jerling,AM Saheba,7.0,2008,RajivGandhiInternationalStadium,,group_stage,regular
2008-05-28,55,Bangalore,Royal Challengers Bangalore,Mumbai Indians,55,Mumbai Indians,CRD Fernando,Mumbai Indians,field,CH Lloyd,,BR Doctrove,BF Bowden,AV Jayaprakash,9.0,2008,MChinnaswamyStadium,,group_stage,regular
2008-05-28,56,Chandigarh,Kings XI Punjab,Rajasthan Royals,56,Kings XI Punjab,SE Marsh,Rajasthan Royals,field,S Venkataraghavan,MS Mahal,DJ Harper,SJ Davis,K Hariharan,,2008,PunjabCricketAssociationStadium,41.0,group_stage,regular
2008-05-30,58,Mumbai,Rajasthan Royals,Delhi Daredevils,Semi Final,Rajasthan Royals,SR Watson,Delhi Daredevils,field,J Srinath,,BR Doctrove,BF Bowden,RE Koertzen,,2008,WankhedeStadium,105.0,Semi Final,regular
2008-05-31,58,Mumbai,Kings XI Punjab,Chennai Super Kings,Semi Final,Chennai Super Kings,M Ntini,Kings XI Punjab,bat,S Venkataraghavan,,K Hariharan,Asad Rauf,DJ Harper,9.0,2008,WankhedeStadium,,Semi Final,regular
2008-06-01,59,Mumbai,Chennai Super Kings,Rajasthan Royals,Final,Rajasthan Royals,YK Pathan,Rajasthan Royals,field,J Srinath,MR Singh,DJ Harper,BF Bowden,RE Koertzen,3.0,2008,DrDYPatilSportsAcademy,,Final,regular
2009-04-18,1,Cape Town,Mumbai Indians,Chennai Super Kings,1,Mumbai Indians,SR Tendulkar,Chennai Super Kings,field,GR Viswanath,EC Hendrikse,RB Tiffin,BR Doctrove,K Hariharan,,2009,Newlands,19.0,group_stage,regular
2009-04-18,2,Cape Town,Royal Challengers Bangalore,Rajasthan Royals,2,Royal Challengers Bangalore,R Dravid,Royal Challengers Bangalore,bat,GR Viswanath,EC Hendrikse,K Hariharan,BR Doctrove,RB Tiffin,,2009,Newlands,75.0,group_stage,regular
2009-04-19,3,Cape Town,Kings XI Punjab,Delhi Daredevils,3,Delhi Daredevils,DL Vettori,Delhi Daredevils,field,Yashpal Sharma,MW Brown,AL Hill,MR Benson,SD Ranade,10.0,2009,Newlands,,group_stage,D/L
2009-04-19,4,Cape Town,Kolkata Knight Riders,Deccan Chargers,4,Deccan Chargers,RP Singh,Kolkata Knight Riders,bat,Yashpal Sharma,MW Brown,SD Ranade,MR Benson,BR Doctrove,8.0,2009,Newlands,,group_stage,regular
2009-04-20,5,Port Elizabeth,Chennai Super Kings,Royal Challengers Bangalore,5,Chennai Super Kings,M Muralitharan,Chennai Super Kings,bat,GR Viswanath,S George,RB Tiffin,BG Jerling,SJA Taufel,,2009,StGeorge'sPark,92.0,group_stage,regular
2009-04-21,6,Durban,Kings XI Punjab,Kolkata Knight Riders,6,Kolkata Knight Riders,CH Gayle,Kolkata Knight Riders,field,D Govindjee,EC Hendrikse,TH Wijewardene,DJ Harper,SD Ranade,,2009,Kingsmead,11.0,group_stage,D/L
2009-04-22,8,Cape Town,Deccan Chargers,Royal Challengers Bangalore,8,Deccan Chargers,AC Gilchrist,Deccan Chargers,bat,Yashpal Sharma,,MR Benson,M Erasmus,AM Saheba,,2009,Newlands,24.0,group_stage,regular
2009-04-23,9,Durban,Delhi Daredevils,Chennai Super Kings,9,Delhi Daredevils,AB de Villiers,Delhi Daredevils,bat,D Govindjee,ZTA Ndamane,SD Ranade,BR Doctrove,SJA Taufel,,2009,Kingsmead,9.0,group_stage,regular
2009-04-23,10,Cape Town,Rajasthan Royals,Kolkata Knight Riders,10,tie,YK Pathan,Kolkata Knight Riders,field,GR Viswanath,EC Hendrikse,AM Saheba,MR Benson,M Erasmus,,2009,Newlands,,group_stage,regular
2009-04-24,11,Durban,Royal Challengers Bangalore,Kings XI Punjab,11,Kings XI Punjab,RS Bopara,Royal Challengers Bangalore,bat,D Govindjee,ZTA Ndamane,SJA Taufel,BR Doctrove,TH Wijewardene,7.0,2009,Kingsmead,,group_stage,regular
2009-04-25,12,Durban,Deccan Chargers,Mumbai Indians,12,Deccan Chargers,PP Ojha,Deccan Chargers,bat,D Govindjee,ZTA Ndamane,SD Ranade,HDPK Dharmasena,SJA Taufel,,2009,Kingsmead,12.0,group_stage,regular
2009-04-26,14,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils,14,Delhi Daredevils,TM Dilshan,Royal Challengers Bangalore,bat,Yashpal Sharma,S George,BR Doctrove,S Asnani,BG Jerling,6.0,2009,StGeorge'sPark,,group_stage,regular
2009-04-26,15,Cape Town,Kings XI Punjab,Rajasthan Royals,15,Kings XI Punjab,KC Sangakkara,Kings XI Punjab,bat,GR Viswanath,EC Hendrikse,MR Benson,M Erasmus,K Hariharan,,2009,Newlands,27.0,group_stage,regular
2009-04-27,16,Durban,Chennai Super Kings,Deccan Chargers,16,Deccan Chargers,HH Gibbs,Deccan Chargers,field,D Govindjee,MW Brown,SD Ranade,IL Howell,TH Wijewardene,6.0,2009,Kingsmead,,group_stage,regular
2009-04-27,17,Port Elizabeth,Mumbai Indians,Kolkata Knight Riders,17,Mumbai Indians,SR Tendulkar,Mumbai Indians,bat,Yashpal Sharma,S George,S Asnani,BG Jerling,RB Tiffin,,2009,StGeorge'sPark,92.0,group_stage,regular
2009-04-28,18,Centurion,Delhi Daredevils,Rajasthan Royals,18,Rajasthan Royals,YK Pathan,Delhi Daredevils,bat,J Srinath,JD Cloete,DJ Harper,GAV Baxter,RE Koertzen,5.0,2009,SuperSportPark,,group_stage,regular
2009-04-29,19,Durban,Kolkata Knight Riders,Royal Challengers Bangalore,19,Royal Challengers Bangalore,MV Boucher,Kolkata Knight Riders,bat,D Govindjee,ZTA Ndamane,SL Shastri,MR Benson,TH Wijewardene,5.0,2009,Kingsmead,,group_stage,regular
2009-04-29,20,Durban,Kings XI Punjab,Mumbai Indians,20,Kings XI Punjab,KC Sangakkara,Kings XI Punjab,bat,D Govindjee,ZTA Ndamane,TH Wijewardene,MR Benson,SL Shastri,,2009,Kingsmead,3.0,group_stage,regular
2009-04-30,21,Centurion,Deccan Chargers,Delhi Daredevils,21,Delhi Daredevils,DP Nannes,Delhi Daredevils,field,GR Viswanath,JD Cloete,RE Koertzen,GAV Baxter,AM Saheba,6.0,2009,SuperSportPark,,group_stage,regular
2009-04-30,22,Centurion,Chennai Super Kings,Rajasthan Royals,22,Chennai Super Kings,SK Raina,Rajasthan Royals,field,GR Viswanath,JD Cloete,AM Saheba,GAV Baxter,RE Koertzen,,2009,SuperSportPark,38.0,group_stage,regular
2009-05-01,23,East London,Mumbai Indians,Kolkata Knight Riders,23,Mumbai Indians,JP Duminy,Mumbai Indians,bat,Yashpal Sharma,S George,BR Doctrove,M Erasmus,SK Tarapore,,2009,BuffaloPark,9.0,group_stage,regular
2009-05-01,24,Durban,Royal Challengers Bangalore,Kings XI Punjab,24,Royal Challengers Bangalore,Yuvraj Singh,Royal Challengers Bangalore,bat,D Govindjee,EC Hendrikse,SJA Taufel,HDPK Dharmasena,S Ravi,,2009,Kingsmead,8.0,group_stage,regular
2009-05-02,25,Port Elizabeth,Deccan Chargers,Rajasthan Royals,25,Rajasthan Royals,YK Pathan,Deccan Chargers,bat,S Venkataraghavan,S George,MR Benson,S Asnani,BG Jerling,3.0,2009,StGeorge'sPark,,group_stage,regular
2009-05-02,26,Johannesburg,Chennai Super Kings,Delhi Daredevils,26,Chennai Super Kings,SB Jakati,Delhi Daredevils,field,GR Viswanath,KH Hurter,SS Hazare,DJ Harper,RE Koertzen,,2009,NewWanderersStadium,18.0,group_stage,regular
2009-05-03,27,Port Elizabeth,Kolkata Knight Riders,Kings XI Punjab,27,Kings XI Punjab,DPMD Jayawardene,Kolkata Knight Riders,bat,S Venkataraghavan,S George,BG Jerling,S Asnani,MR Benson,6.0,2009,StGeorge'sPark,,group_stage,regular
2009-05-03,28,Johannesburg,Mumbai Indians,Royal Challengers Bangalore,28,Royal Challengers Bangalore,JH Kallis,Mumbai Indians,bat,GR Viswanath,ZTA Ndamane,K Hariharan,RE Koertzen,TH Wijewardene,9.0,2009,NewWanderersStadium,,group_stage,regular
2009-05-04,29,East London,Chennai Super Kings,Deccan Chargers,29,Chennai Super Kings,MS Dhoni,Chennai Super Kings,bat,Yashpal Sharma,S George,SK Tarapore,BR Doctrove,M Erasmus,,2009,BuffaloPark,78.0,group_stage,regular
2009-05-05,30,Durban,Rajasthan Royals,Kings XI Punjab,30,Rajasthan Royals,GC Smith,Kings XI Punjab,field,J Srinath,KH Hurter,GAV Baxter,SS Hazare,IL Howell,,2009,Kingsmead,78.0,group_stage,regular
2009-05-05,31,Durban,Kolkata Knight Riders,Delhi Daredevils,31,Delhi Daredevils,G Gambhir,Kolkata Knight Riders,bat,J Srinath,KH Hurter,S Ravi,GAV Baxter,IL Howell,9.0,2009,Kingsmead,,group_stage,regular
2009-05-06,32,Centurion,Deccan Chargers,Mumbai Indians,32,Deccan Chargers,RG Sharma,Deccan Chargers,bat,GR Viswanath,JD Cloete,K Hariharan,MR Benson,HDPK Dharmasena,,2009,SuperSportPark,19.0,group_stage,regular
2009-05-07,33,Centurion,Royal Challengers Bangalore,Rajasthan Royals,33,Rajasthan Royals,A Singh,Rajasthan Royals,field,S Venkataraghavan,JD Cloete,TH Wijewardene,K Hariharan,DJ Harper,7.0,2009,SuperSportPark,,group_stage,regular
2009-05-07,34,Centurion,Chennai Super Kings,Kings XI Punjab,34,Chennai Super Kings,ML Hayden,Chennai Super Kings,bat,S Venkataraghavan,JD Cloete,K Hariharan,DJ Harper,TH Wijewardene,,2009,SuperSportPark,12.0,group_stage,D/L
2009-05-08,35,East London,Mumbai Indians,Delhi Daredevils,35,Delhi Daredevils,A Nehra,Mumbai Indians,bat,Yashpal Sharma,S George,BG Jerling,M Erasmus,SK Tarapore,7.0,2009,BuffaloPark,,group_stage,regular
2009-05-09,36,Kimberley,Deccan Chargers,Kings XI Punjab,36,Kings XI Punjab,DPMD Jayawardene,Kings XI Punjab,field,J Srinath,KH Hurter,HDPK Dharmasena,GAV Baxter,AM Saheba,3.0,2009,DeBeersDiamondOval,,group_stage,regular
2009-05-09,37,Kimberley,Rajasthan Royals,Chennai Super Kings,37,Chennai Super Kings,S Badrinath,Rajasthan Royals,bat,J Srinath,KH Hurter,AM Saheba,GAV Baxter,HDPK Dharmasena,7.0,2009,DeBeersDiamondOval,,group_stage,regular
2009-05-10,38,Port Elizabeth,Mumbai Indians,Royal Challengers Bangalore,38,Mumbai Indians,JP Duminy,Mumbai Indians,bat,Yashpal Sharma,S George,IL Howell,BR Doctrove,BG Jerling,,2009,StGeorge'sPark,16.0,group_stage,regular
2009-05-10,39,Johannesburg,Kolkata Knight Riders,Delhi Daredevils,39,Delhi Daredevils,A Mishra,Delhi Daredevils,field,S Venkataraghavan,ZTA Ndamane,S Ravi,SL Shastri,RB Tiffin,7.0,2009,NewWanderersStadium,,group_stage,regular
2009-05-11,40,Kimberley,Deccan Chargers,Rajasthan Royals,40,Deccan Chargers,DR Smith,Deccan Chargers,bat,J Srinath,KH Hurter,S Asnani,GAV Baxter,HDPK Dharmasena,,2009,DeBeersDiamondOval,53.0,group_stage,regular
2009-05-12,41,Centurion,Kolkata Knight Riders,Royal Challengers Bangalore,41,Royal Challengers Bangalore,LRPL Taylor,Royal Challengers Bangalore,field,Yashpal Sharma,JD Cloete,RE Koertzen,M Erasmus,SS Hazare,6.0,2009,SuperSportPark,,group_stage,regular
2009-05-12,42,Centurion,Kings XI Punjab,Mumbai Indians,42,Mumbai Indians,Harbhajan Singh,Kings XI Punjab,bat,Yashpal Sharma,JD Cloete,M Erasmus,SS Hazare,RE Koertzen,8.0,2009,SuperSportPark,,group_stage,regular
2009-05-13,43,Durban,Delhi Daredevils,Deccan Chargers,43,Delhi Daredevils,R Bhatia,Deccan Chargers,field,D Govindjee,MW Brown,RB Tiffin,DJ Harper,SL Shastri,,2009,Kingsmead,12.0,group_stage,regular
2009-05-14,44,Durban,Chennai Super Kings,Royal Challengers Bangalore,44,Royal Challengers Bangalore,LRPL Taylor,Chennai Super Kings,bat,D Govindjee,MW Brown,SL Shastri,BR Doctrove,DJ Harper,2.0,2009,Kingsmead,,group_stage,regular
2009-05-14,45,Durban,Rajasthan Royals,Mumbai Indians,45,Rajasthan Royals,SK Warne,Rajasthan Royals,bat,D Govindjee,MW Brown,SL Shastri,BR Doctrove,DJ Harper,,2009,Kingsmead,2.0,group_stage,regular
2009-05-15,46,Bloemfontein,Delhi Daredevils,Kings XI Punjab,46,Kings XI Punjab,B Lee,Kings XI Punjab,field,J Srinath,ZTA Ndamane,S Asnani,HDPK Dharmasena,IL Howell,6.0,2009,OUTsuranceOval,,group_stage,regular
2009-05-16,47,Port Elizabeth,Mumbai Indians,Chennai Super Kings,47,Chennai Super Kings,ML Hayden,Mumbai Indians,bat,Yashpal Sharma,S George,BG Jerling,SK Tarapore,SJA Taufel,7.0,2009,StGeorge'sPark,,group_stage,regular
2009-05-16,48,Johannesburg,Kolkata Knight Riders,Deccan Chargers,48,Deccan Chargers,RG Sharma,Deccan Chargers,field,S Venkataraghavan,KH Hurter,SL Shastri,RE Koertzen,S Ravi,6.0,2009,NewWanderersStadium,,group_stage,regular
2009-05-17,49,Johannesburg,Kings XI Punjab,Deccan Chargers,49,Kings XI Punjab,Yuvraj Singh,Deccan Chargers,field,S Venkataraghavan,KH Hurter,GAV Baxter,S Ravi,RB Tiffin,,2009,NewWanderersStadium,1.0,group_stage,regular
